,id,slug,status,title,property_type,purchase_type,bedrooms,bathrooms,area,city,state,photo_url,lister,lat,lng,price,createdat,price_per_sq_ft,trends
242,22211,newly-renovated-1987-airstream-excella-tiny-home,active,Newly Renovated 1987 Airstream Excella Tiny Home,Rv,purchase,1.0,1.0,230.0,Efland,North Carolina,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_2852_phzfxb.jpg,142631,36.07,-79.16,33800.0,2020-09-05,146.96,
243,22170,tiny-house-in-a-toterhome,active,Tiny House in a Toterhome,Rv,purchase,1.0,1.0,292.0,Lubbock,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/70B381B1-E0FB-4E94-9AF9-7FB27AF01408_gdjlbs.jpg,150424,33.5779,-101.8552,125000.0,2020-09-04,428.08,
244,22169,tiny-home-office,active,Tiny Home Office,Tiny House,purchase,0.0,0.0,96.0,elgin,Illinois,http://res.cloudinary.com/tinyhouselistings/image/upload/INshed-Office_Interior_HDR-3_o756xs.jpg,150425,42.04,-88.28,13500.0,2020-09-04,140.62,
245,22124,2019-elm-equator,active,2019 Elm Equator,Tiny House,purchase,2.0,1.0,260.0,Hastings,Florida,http://res.cloudinary.com/tinyhouselistings/image/upload/20191124_173935_HDR_zpaeje.jpg,149798,29.66,-81.29,76000.0,2020-08-30,292.31,
246,22118,custom-tiny-homes-tiny_house-stationary,active,Custom 12X32 Lofted Barn Style Cabin,Cabin,model,2.0,1.0,384.0,Lady Lake,Florida,http://res.cloudinary.com/tinyhouselistings/image/upload/Screenshot_20200328-092848_1_gogus9.jpg,23751,28.93,-81.94,35000.0,2020-08-29,91.15,
247,22099,custom-go-anywhere-tiny-house,active,"OFF GRID BIG little Tiny! 320 Sq Ft, TV & Appliances Included!",Tiny House,purchase,2.0,1.0,240.0,Conifer,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_5892_gxvtad_cliuod.jpg,138526,39.53,-105.31,90000.0,2020-08-27,375.0,
248,22098,wanderlust-tiny-house-noah-certified,active,Wanderlust  tiny house - NOAH certified ,Tiny House,purchase,1.0,1.0,160.0,Northwood,Ohio,http://res.cloudinary.com/tinyhouselistings/image/upload/0A263077-2191-485A-BD1C-2494FCAA1F02_tj07vn.jpg,128562,41.61,-83.48,30000.0,2020-08-27,187.5,
249,22095,modern-tiny-living-wood-metal-and-natural-light,active,"Modern tiny living - a marriage of wood, metal and natural light",Tiny House,purchase,1.0,1.0,160.0,Taos,New Mexico,http://res.cloudinary.com/tinyhouselistings/image/upload/DSC_0769_2_piwyg9.jpg,148772,36.39,-105.58,45600.0,2020-08-27,285.0,Modern
250,22083,brand-new-cottage-near-beaches-29-900-55-community,active,"Brand New Cottage!  Near Beaches! $20,000! 55+ Community",Tiny House,purchase,1.0,1.0,384.0,Clearwater,Florida,http://res.cloudinary.com/tinyhouselistings/image/upload/CTC.224.1_sdvg8j.jpg,149036,27.951689,-82.783996,20000.0,2020-08-25,52.08,
251,22057,800-180ft2-rv-tiny-house-parking-space-available-east-palo-alto,active,$800 / 180ft2 - RV / Tiny House parking space available (east palo alto),Land,rent,0.0,0.0,250.0,East Palo Alto,California,http://res.cloudinary.com/tinyhouselistings/image/upload/00M0M_3YzG4PGLFSI_0CI0t2_600x450_k7open.jpg,146247,37.46,-122.14,800.0,2020-08-22,3.2,
252,22055,work-from-home-container-office-other,active,Work From Home Container Office,Tiny House,purchase,1.0,0.0,126.0,Sacramento,California,http://res.cloudinary.com/tinyhouselistings/image/upload/Container_Gray1_jchz1o.jpg,148469,38.608843,-121.261009,20000.0,2020-08-21,158.73,
253,22053,luxury-tiny-house-with-sleeping-downstairs,active,Luxury Tiny House  ,Tiny House,purchase,1.0,1.0,315.0,Columbus,Ohio,http://res.cloudinary.com/tinyhouselistings/image/upload/E8D5E5FE-6CF6-4ABC-B5AA-6A3DDD757C9D_jg3du2_ezvehk.jpg,135778,40.08,-82.81,125000.0,2020-08-21,396.83,
254,22003,adaptable-sustainable-tiny-home-available,active,Adaptable Sustainable Tiny Home Available,Tiny House,purchase,1.0,1.0,506.0,Knoxville,Tennessee,http://res.cloudinary.com/tinyhouselistings/image/upload/20201111_162654_egntao.jpg,147302,35.99636,-83.9024,120000.0,2020-08-14,237.15,Eco
255,21987,park_model-mobile,active,398 sf Luxury Park Model with Rustic Styling - ON SALE!,Tiny House On Wheels,purchase,1.0,1.0,399.0,Conroe,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/45_q0opbw.jpg,24588,30.21,-95.46,82500.0,2020-08-12,206.77,
256,21979,just-built-brand-new-thow-for-sale,active,"Just Built, Brand NEW 20' THOW For Sale",Tiny House,purchase,0.0,1.0,288.0,Tacoma,Washington,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_20200414_111416106_excelr.jpg,114042,47.22,-122.46,59000.0,2020-08-12,204.86,
257,21965,the-orca-tiny-home,active,The Orca Tiny Home,Tiny House,model,2.0,1.0,240.0,Portland ,Oregon,http://res.cloudinary.com/tinyhouselistings/image/upload/VSQL2553.JPG_z0prs9.jpg,146750,45.51,-122.68,120000.0,2020-08-11,500.0,
258,21947,skoolie-1989-chevrolet,active,Skoolie 1989 Chevrolet,Converted Bus,purchase,2.0,1.0,217.0,Kansas City,Missouri,http://res.cloudinary.com/tinyhouselistings/image/upload/0A033D45-1BBA-4854-B369-3E2E4E334BCA_dmbmzi.jpg,146309,39.0845,-94.563,25000.0,2020-08-08,115.21,
259,21919,ambulance-conversion-van-1994-ford-e350,active,Ambulance Conversion Van - 1994 Ford E350,Converted Bus,purchase,1.0,1.0,100.0,Branford,Connecticut,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_7076_cr9ifr.jpg,145651,41.28,-72.81,12500.0,2020-08-04,125.0,
260,21891,custom-tiny-house-8-5-x-26-trailer-hardwoods-bathroom-kitchen,active,8X26 Tiny House,Tiny House,purchase,1.0,1.0,262.0,san diego,California,http://res.cloudinary.com/tinyhouselistings/image/upload/BLUE_best_2_vv8ceh.jpg,22672,32.98,-117.09,39000.0,2020-07-30,148.85,
261,21884,charming-tiny-house-with-many-extras,active,Charming Tiny House With Many Extras,Tiny House,purchase,1.0,1.0,160.0,Ringgold,Georgia,http://res.cloudinary.com/tinyhouselistings/image/upload/20190929_171306_a7m3cx.jpg,113127,34.91,-85.13,44950.0,2020-07-28,280.94,
262,21864,dreamcatcher,active,Dreamcatcher ,Tiny House,purchase,2.0,1.0,320.0,Jacksboro,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/87F36A1B-4210-45E6-AFA6-D45DE7E6B1B5_xnrdis.jpg,143683,33.21,-98.16,95000.0,2020-07-25,296.88,Boho
263,21859,rough-electrical-plumbing-framed-container-home,active,"Rough Electrical, Plumbing, & Framed Container Home",Container Home,model,2.0,1.0,320.0,Elwood ,Utah,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_1604_ky9t9r.jpg,85440,41.73,-112.18,14800.0,2020-07-24,46.25,
264,21855,new-container-home-container_home,active,New Container Home ,Container Home,model,2.0,2.0,424.0,Miami,Florida,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_0859_mx12z0.jpg,143795,25.75,-80.26,55000.0,2020-07-24,129.72,
265,21853,new-container-home,active,New Affordable Container Home ,Tiny House,purchase,1.0,1.0,320.0,Miami,Florida,http://res.cloudinary.com/tinyhouselistings/image/upload/Attachment_1587966267-600x326_vnp43z.jpg,143795,25.75,-80.25,40000.0,2020-07-24,125.0,
266,21836,rail-road-caboose-tiny-house,active,Rail road caboose tiny house,Converted Railcar,purchase,1.0,1.0,431.0,Pensacola,Florida,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_20200627_150416_zqkx3r.jpg,143539,30.4,-87.28,80000.0,2020-07-22,185.61,
267,21829,duramax-gable-roof-tiny-house-insulated-building-8-5-x-26,active,Duramax Gable Roof Tiny House/Insulated Building 8.5' x 26',Tiny House,purchase,0.0,0.0,240.0,Commerce,California,http://res.cloudinary.com/tinyhouselistings/image/upload/8.5_X_26_TINY_HOUSE_cm5ruf.jpg,114099,34.01,-118.16,9999.0,2020-07-22,41.66,
268,21827,affordable-20-container-on-wheels-with-french-doors,active,Affordable 20' Container on Wheels With French Doors,Container Home,purchase,1.0,1.0,160.0,Elwood,Utah,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_2497_iynuw0.jpg,85440,41.73,-112.18,20000.0,2020-07-21,125.0,
269,21823,tiny-house-trailer-proffesionally-built-dot-for-tiny-house,active,Tiny House trailer proffesionally built DOT for tiny house,Converted Bus,purchase,0.0,0.0,192.0,Laredo,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/PHOTO-2020-07-06-18-05-132_nla2zr.jpg,122221,27.5,-99.5,6000.0,2020-07-21,31.25,
271,21780,move-in-ready-tiny-home,active,Move in ready Tiny Home,Container Home,purchase,0.0,1.0,144.0,Dinuba ,California,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_9602_iuwhhs.jpg,142508,36.536001,-119.389325,38000.0,2020-07-17,263.89,
272,21767,brand-new-luxury-container-home,active,Brand New Luxury Container Home ,Container Home,purchase,1.0,1.0,320.0,Royse City,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/119998309_193097825682036_1301796586338621778_o_hmnte8.jpg,142318,32.97,-96.33,55000.0,2020-07-15,171.88,
274,21747,brand-new-luxury-tiny-home-for-sale,active,King Size Bed Loft w/Farmhouse Bathroom Door Off Grid Capable,Tiny House,purchase,1.0,1.0,200.0,Hildale,Utah,http://res.cloudinary.com/tinyhouselistings/image/upload/3E21303A-3A8C-4CB7-B492-C5C0F979684B_a0gjbu_vuu4cj.jpg,138526,37.049373,-113.012049,75000.0,2020-07-13,375.0,
275,21732,great-tiny-house-with-big-kitchen,active,Great Tiny House with Big Kitchen!,Tiny House,purchase,0.0,1.0,200.0,Medford ,New York,http://res.cloudinary.com/tinyhouselistings/image/upload/TH3_xrgc1a.jpg,141618,40.83,-73.02,80000.0,2020-07-12,400.0,
276,21722,affordable-tiny-house-reduced-price-49d54732-c764-4a17-93c1-f45b845c7b07,active,Cabin Style 24' Tiny House  - Reduced price!,Cabin,purchase,2.0,1.0,220.0,Chattanooga,Tennessee,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_1324_z14jda.jpg,141393,35.03,-85.16,54000.0,2020-07-10,245.45,
277,21716,cabin-in-texas,active,Cabin in Texas,Cabin,purchase,2.0,1.0,20.0,Georgetown,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/Screenshot_2020-02-23-14-28-37_fn1nq7.jpg,141365,30.66,-97.67,40000.0,2020-07-10,2000.0,
278,21707,nordic-and-spruce-custom-tinyhouses-and-studios,active,Modular Nordic Style Tiny Houses and Studios ,Tiny House,model,0.0,0.0,130.0,Monterey,Tennessee,http://res.cloudinary.com/tinyhouselistings/image/upload/5D7C8703-B5B6-43DF-9318-FF273AF8230C_tkfx0o.jpg,117240,36.14,-85.27,9000.0,2020-07-09,69.23,Treehouse
279,21701,affordable-20-container-home-on-wheels-for-20k,active,Affordable 20' Container Home on Wheels for $20k,Container Home,purchase,0.0,1.0,160.0,Elwood,Utah,http://res.cloudinary.com/tinyhouselistings/image/upload/FRONT_qebxdv.jpg,85440,41.73,-112.18,20000.0,2020-07-08,125.0,
280,21689,eco-container-tiny-house-can-be-shipped-to-you,active,ECO Container Tiny House (Can be shipped to you),Container Home,purchase,0.0,1.0,160.0,chicago,Illinois,http://res.cloudinary.com/tinyhouselistings/image/upload/99113929_10217812402558802_1173554896864018432_n_wmavea.jpg,132955,41.92387,-87.71797,31999.0,2020-07-07,199.99,Eco
281,21688,this-quaint-country-songwriters-cabin-is-a-wonderful-place-to-live-vacation-seek-solitude-or-play-it-offers-a-little-something-for-everyone,active,"This quaint, country, songwriters cabin is a wonderful place to live, vacation, seek solitude or play.  ​​It offers a little something for everyone.",Cabin,purchase,4.0,1.0,240.0,Nunnelly,Tennessee,http://res.cloudinary.com/tinyhouselistings/image/upload/image_jfmjen.jpg,20995,35.89,-87.48,85000.0,2020-07-07,354.17,
283,21655,the-new-2021-ranch-house-under-50-000,active,"The New 2021 Ranch House Under $55,000",Tiny House,purchase,1.0,1.0,399.0,Mansfield,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG-5719_ym873g.jpg,27311,32.61,-97.12,54875.0,2020-07-01,137.53,Ranch
284,21651,duramax-gable-roof-tiny-house-insulated-building-8-5-x-20,active,Duramax Gable Roof Tiny House/Insulated Building 8.5' x 20',Tiny House,model,1.0,1.0,160.0,Los Angeles,California,http://res.cloudinary.com/tinyhouselistings/image/upload/BOSS_FRONT_RIGHT_SIDE_VIEW_OP._3_suptyy.jpg,114099,34.01,-118.16,7599.0,2020-07-01,47.49,
285,21649,mt-bachelor-park_model,active,Mt Bachelor,Tiny House,model,1.0,1.0,400.0,Salem,Oregon,http://res.cloudinary.com/tinyhouselistings/image/upload/Mt_Bachelor_2_wzuvbu.jpg,135778,44.94,-123.03,76995.0,2020-06-30,192.49,
286,21631,cute-tiny-house-near-downtown-denver,active,Cute Tiny House Near Downtown Denver,Tiny House,purchase,1.0,1.0,250.0,Lakewood,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/104377623_598187827558909_646880802579660545_n_mejo7b.jpg,105442,39.74,-105.06,32000.0,2020-06-28,128.0,
287,21615,20-mobile-container-home,active,20’ Mobile Container Home ,Container Home,purchase,1.0,1.0,160.0,Elwood,Utah,http://res.cloudinary.com/tinyhouselistings/image/upload/31907E09-ED23-4B2D-8F84-4CBC38E23CB7_dvujkj.jpg,85440,41.925011,-112.145329,20000.0,2020-06-26,125.0,
288,21609,luxurious-35-goosenecktiny-house-for-sale-with-a-kegerator-tiny_house,active,Luxurious 35' GooseneckTiny House For Sale! With a kegerator,Tiny House,model,1.0,1.0,280.0,Chattanooga,Tennessee,http://res.cloudinary.com/tinyhouselistings/image/upload/1AE1B5EF-AD4C-452F-9E7A-A414F6F7079D_eppmo6_disvzo.jpg,135778,35.03,-85.16,132500.0,2020-06-26,473.21,
289,21601,edgewater-office-adu,active,Edgewater Office/ADU,Tiny House,purchase,1.0,1.0,264.0,Salem,Oregon,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_0241_znyov3.jpg,135778,44.94,-123.03,28995.0,2020-06-25,109.83,
290,21585,modern-penthouse-micro-unit-container_home,active,Modern Penthouse Micro Unit,Container Home,purchase,1.0,1.0,80.0,Phoenix,Arizona,http://res.cloudinary.com/tinyhouselistings/image/upload/received_352518485719094_r3krgx_ocamqr.jpg,135778,33.411855,-112.074979,22500.0,2020-06-23,281.25,Modern
291,21579,nature-s-retreat-solid-wood-custom-built-mini-home-12-x-30,active,Nature's Retreat Solid Wood Custom Built Tiny Home 12' x 30' - 1 Bedroom/1 Bathroom,Tiny House,purchase,1.0,1.0,350.0,Albany,Kentucky,http://res.cloudinary.com/tinyhouselistings/image/upload/P1230625_opai4t.jpg,138207,36.71,-85.13,59500.0,2020-06-23,170.0,
292,21541,the-washougal,active,The Washougal,Tiny House,model,1.0,1.0,400.0,Salem,Oregon,http://res.cloudinary.com/tinyhouselistings/image/upload/Washougal_Snow_4_u2unuw_ix8vrq.jpg,135778,44.94,-123.03,78995.0,2020-06-18,197.49,
293,21533,modern-penthouse-container-home,active,Modern Penthouse Container Home,Container Home,purchase,1.0,1.0,320.0,Phoenix,Arizona,http://res.cloudinary.com/tinyhouselistings/image/upload/20200617_073519_perzmg_wceiae.jpg,135778,33.4486,-112.0773,65000.0,2020-06-17,203.12,Modern
294,21510,used-tiny-house-12x32ft,active,Used tiny house 12X32ft,Cabin,purchase,1.0,1.0,384.0,Macomb,Oklahoma,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_20200616_005023057_paozti.jpg,136831,35.16,-96.94,15000.0,2020-06-14,39.06,
295,21509,blessed-value,active,Blessed Value,Tiny House,purchase,1.0,1.0,297.0,La Grande,Oregon,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_0257_mrkevs.jpg,75802,45.32,-118.09,65000.0,2020-06-14,218.86,
296,21498,stunning-2020-26ft-double-loft-rvia-certified,active,Stunning 2020 26ft Double Loft RVIA Certified,Converted Bus,purchase,2.0,1.0,250.0,Croswell,Michigan,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_81511_awvdgl.jpg,136618,43.27,-82.62,79999.0,2020-06-13,320.0,
297,21492,10x20ft-no-permit-playhouses-cabins-on-wood-skids-runners-8x20ft-tiny-houses-on-wheels-add-6k-trailer,active,"Home of the $31,000  (them: $67-92K) Tiny House! Show model or custom build. Colorado.   $11K free upgrades inc. ",Tiny House,model,1.0,1.0,200.0,Delta,Colorado,http://res.cloudinary.com/tinyhouselistings/image/upload/8x20ft_7_suwtp1.jpg,40721,38.7422,-108.069,25000.0,2020-06-12,125.0,
298,21472,beautiful-38-tiny-house-with-main-floor-sleeping-for-sale-tiny_house,active,Beautiful 38' tiny house with main floor sleeping for sale,Tiny House,purchase,1.0,1.0,304.0,Chattanooga,Tennessee,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG-2087_i3g96j_cj5e1p.jpg,135778,35.03,-85.16,84800.0,2020-06-09,278.95,
299,21471,affordable-tiny-house-reduced-price-tiny_house-mobile-purchase,active,Affordable Tiny House  - Reduced price!,Tiny House On Wheels,purchase,1.0,1.0,200.0,Chattanooga,Tennessee,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_0173_ryuble_pq4lnm.jpg,135778,35.03,-85.16,37100.0,2020-06-09,185.5,
300,21463,main-floor-sleeping-beautiful-32-x-10-tiny-house-tiny_house,active,Main Floor Sleeping!! Beautiful 32' x 10'  tiny house.,Tiny House,model,1.0,1.0,320.0,Chattanooga,Tennessee,http://res.cloudinary.com/tinyhouselistings/image/upload/20191106_064608_k1ecrs_m5u53l.jpg,135778,35.03,-85.16,135000.0,2020-06-08,421.88,
301,21459,tiny-is-good-tiny_house,active,Tiny Is Good,Tiny House,purchase,1.0,1.0,399.0,Mansfield,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_3310_fb2zna.jpg,27311,32.61,-97.12,45000.0,2020-06-08,112.78,
302,21457,the-outdoorsman-cabin-model,active,The Outdoorsman Cabin model,Cabin,purchase,1.0,1.0,400.0,Mansfield,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG-4118_ioumt0.jpg,27311,32.61,-97.12,72000.0,2020-06-08,180.0,
303,21456,the-original-thinhaus-tiny_house,active,The Original ThinHaus,Tiny House,purchase,2.0,1.0,240.0,Phoenix,Arizona,http://res.cloudinary.com/tinyhouselistings/image/upload/TH_paradise_pic_overexposed_hp1dsx.jpg,135560,33.4486,-112.0773,79875.0,2020-06-08,332.81,
304,21404,40-off-grid-container-home-in-stock-for-sale,active,40' Off Grid Container Home In Stock For Sale,Container Home,purchase,2.0,1.0,320.0,Elwood,Utah,http://res.cloudinary.com/tinyhouselistings/image/upload/DSC00063_kgbwef.jpg,85440,41.73,-112.18,75000.0,2020-06-05,234.38,
305,21403,settled-nomad-tiny-home-on-wheels,active,"""Settled Nomad"" Tiny Home on Wheels",Tiny House On Wheels,purchase,1.0,1.0,270.0,Branson,Missouri,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_6468_iwqp2l.jpg,135204,36.64,-93.21,59999.0,2020-06-05,222.22,
306,21387,tiny-idahomes-24-clear-creek,active,Tiny Idahomes 24' Clear Creek,Tiny House,purchase,1.0,1.0,192.0,Emmett,Idaho,http://res.cloudinary.com/tinyhouselistings/image/upload/01-Exterior_Front_f3jyrq.jpg,20797,43.87,-116.5,58275.0,2020-06-03,303.52,
308,21367,20-basic-container-home,active,20' Basic Container Home,Container Home,model,1.0,1.0,160.0,Elwood,Utah,http://res.cloudinary.com/tinyhouselistings/image/upload/rugged-cabin-shipping-container-big-horn-spokane_ready_pqnymu.jpg,85440,41.67408,-112.14071,9985.0,2020-06-01,62.41,
313,21272,the-almont-camper-cabin,active,The Almont (Camper-Cabin),Cabin,purchase,1.0,1.0,128.0,Alpharetta,Georgia,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG-3340_t6hhvq.jpg,92128,34.09,-84.27,29500.0,2020-05-20,230.47,
314,21244,40-apoca-outpost-overview,active,40' Apoca Outpost Overview,Container Home,model,2.0,1.0,320.0,Elwood,Utah,http://res.cloudinary.com/tinyhouselistings/image/upload/DSC00424_bpg4gc.jpg,85440,41.73,-112.18,55000.0,2020-05-16,171.88,
315,21243,az-tiny-house-haven,active,AZ tiny house haven,Tiny House,purchase,2.0,1.0,200.0,Phoenix,Arizona,http://res.cloudinary.com/tinyhouselistings/image/upload/31F176B4-EAD3-4382-AC00-83EB0117CABD_k9jmsn.jpg,132057,33.68,-111.98,60000.0,2020-05-15,300.0,
316,21241,custom-modern-tiny-house-almost-400-sq-ft,active,Custom 28' Tiny Home,Tiny House,purchase,0.0,1.0,250.0,Browns Mills,New Jersey,http://res.cloudinary.com/tinyhouselistings/image/upload/Tiny_house_1_qhv4dl.jpg,132036,39.88,-74.96,40000.0,2020-05-15,160.0,Modern
317,21229,custom-shipping-container-tiny-home-tiny_house,active,Custom Shipping Container Tiny Home,Tiny House,purchase,0.0,1.0,180.0,Portland,Oregon,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_0307_uamki3.jpg,131598,45.59,-122.59,35000.0,2020-05-13,194.44,
318,21222,bear-ridge,active,Bear Ridge,Tiny House,model,1.0,1.0,476.0,Due West,South Carolina,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_2125_daxbam.jpg,77550,34.299456,-82.454842,84700.0,2020-05-12,177.94,
319,21187,tiny-house-shell-best-quality-building-materials-in-progress,active,Tiny House Shell Best Quality Building Materials (in progress) ,Tiny House,purchase,0.0,1.0,200.0,Ft. Pierce,Florida,http://res.cloudinary.com/tinyhouselistings/image/upload/3_dtyr5d.jpg,23875,27.43,-80.36,19900.0,2020-05-07,99.5,
320,21186,wood-lovers-dream-amazing-tiny-house,active,Wood Lovers Dream Amazing Tiny House!,Tiny House,purchase,1.0,1.0,140.0,Ft Pierce ,Florida,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_8534_wvkkni.jpg,23875,27.43,-80.36,49900.0,2020-05-07,356.43,Boho
321,21168,spacious-and-luxurious-tiny-homes-bay-cottage-and-tiny-victorian,active,Spacious and Luxurious Tiny Homes: Bay Cottage and Tiny Victorian,Tiny House,model,1.0,1.0,211.0,Pacifica,California,http://res.cloudinary.com/tinyhouselistings/image/upload/Screen_Shot_2021-01-07_at_9.03.09_AM_eycauh.jpg,63276,37.65,-122.49,39900.0,2020-05-05,189.1,
325,21151,new-container-home-on-chasis-king-trailer-with-finance-available,active,New Container Home on Trailer with Finance Available,Container Home,purchase,0.0,1.0,160.0,Hickory Creek,Texas,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_1371_dmtged.jpg,129804,33.12,-97.03,44900.0,2020-05-02,280.62,
326,21147,duramax-flat-top-insulated-building,active,Duramax Flat-Top Insulated Building,Tiny House On Wheels,purchase,0.0,0.0,130.0,Commerce,California,http://res.cloudinary.com/tinyhouselistings/image/upload/duramax-insulated-buildings-flat-top-insulated-buildings-13-ft-w-x-10-ft-d-2493338648634_1400x_fimcsb.jpg,114099,34.01,-118.16,3710.0,2020-05-01,28.54,
327,21137,40-two-bedroom-cargo-container-home,active,40' Two Bedroom Cargo  Container Home,Container Home,model,2.0,1.0,320.0,El,Utah,http://res.cloudinary.com/tinyhouselistings/image/upload/AL1_READY_002_j4rzep.jpg,85440,41.73,-112.18,55000.0,2020-04-30,171.88,
328,21135,8x20-cargo-container-home-grid-tied,active,8x20 Cargo Container Home Grid Tied,Container Home,model,1.0,1.0,160.0,Elwood,Utah,http://res.cloudinary.com/tinyhouselistings/image/upload/1-Backyard-Tree-Ideas-iStock_Ready_of4usl.jpg,85440,41.73,-112.18,40000.0,2020-04-30,250.0,
329,21103,tiny-house-tiny_house-mobile-rent,active,Tiny House ,Tiny House On Wheels,rent,1.0,1.0,200.0,Leesburg,Florida,http://res.cloudinary.com/tinyhouselistings/image/upload/20191212_093810_t64dvh.jpg,95566,28.82,-81.78,850.0,2020-04-24,4.25,
330,21100,20-off-grid-bunkhouse,active,20' Off Grid Bunkhouse ,Container Home,purchase,1.0,1.0,160.0,Elwood,Utah,http://res.cloudinary.com/tinyhouselistings/image/upload/DSC00269_i6hdmd.jpg,85440,41.73,-112.18,80000.0,2020-04-24,500.0,
331,20964,2020-aspen-by-homestead-tiny-house,active,2020 Aspen by Homestead Tiny House,Tiny House,purchase,2.0,1.0,192.0,Alpharetta,Georgia,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_2816_rlrdpy.jpg,92128,34.09,-84.27,49000.0,2020-03-31,255.21,
332,20955,blue-mountain-tiny-home,active,Blue Mountain Tiny Home,Tiny House,purchase,1.0,1.0,400.0,La Grande ,Oregon,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_0212_gncff1.jpg,75802,45.32,-118.09,85000.0,2020-03-28,212.5,
333,20936,custom-open-tiny-dream-tiny_house,active,Custom OPEN Tiny Dream! ,Tiny House,purchase,0.0,1.0,250.0,flagstaff,Arizona,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_20200226_122204_qk6l3y.jpg,24360,35.19,-111.65,69999.0,2020-03-24,280.0,Boho
334,20925,finished-tiny-cabin,active,Finished Tiny Cabin,Cabin,purchase,0.0,0.0,190.0,Beatty ,Oregon,http://res.cloudinary.com/tinyhouselistings/image/upload/3831595A-1134-4EF1-AC73-9B1859D99E7C_fnwfoj.jpg,123465,42.499437,-121.260048,15000.0,2020-03-22,78.95,
335,20914,20-roanoke-tumbleweed-new,active,20’ Roanoke Tumbleweed - New,Tiny House,purchase,1.0,1.0,139.0,Malibu,California,http://res.cloudinary.com/tinyhouselistings/image/upload/9396A570-6A8E-4E33-AA21-6EA681F20F08_xd8zb8.jpg,113897,34.02,-118.83,62000.0,2020-03-21,446.04,
336,20911,the-westhaven-home,active,The Westhaven Home,Tiny House,model,1.0,1.0,205.0,bend,Oregon,http://res.cloudinary.com/tinyhouselistings/image/upload/DSC_0006_qk4iul_1_jtrehx.jpg,77485,44.06,-121.26,70000.0,2020-03-20,341.46,
337,20890,40-off-grid-outpost-smart-home,active,40' Off Grid Outpost Smart Home,Container Home,purchase,2.0,1.0,320.0,Elwood,Utah,http://res.cloudinary.com/tinyhouselistings/image/upload/G6_gi7ejd.jpg,85440,41.73,-112.18,90000.0,2020-03-17,281.25,
338,20889,40-off-grid-smart-home-container_home,active,40' Off Grid Smart Home ,Container Home,purchase,2.0,1.0,320.0,Elwoo,Utah,http://res.cloudinary.com/tinyhouselistings/image/upload/Apoca_Living_Sunset_2_aox16k.jpg,85440,41.73,-112.18,95000.0,2020-03-17,296.88,
339,20856,amazing-grace,active,Amazing Grace,Tiny House,purchase,0.0,1.0,160.0,Industry ,Pennsylvania,http://res.cloudinary.com/tinyhouselistings/image/upload/Resized_20200222_114433_1_iy96g0.jpg,122223,40.69,-80.45,29900.0,2020-03-11,186.88,
340,20845,archv-park_model,active,ARCHV,Tiny House,purchase,1.0,1.0,160.0,Norman,Oklahoma,http://res.cloudinary.com/tinyhouselistings/image/upload/IMG_E6608_fnf5ib.jpg,117613,35.2226,-97.4395,39000.0,2020-03-10,243.75,
341,20832,intentional-tiny-house-emf-resistant-micro-office-with-full-roof-skylight,active,"INTENTIONAL Tiny House - EMF Resistant, Micro Office with Full Roof Skylight",Tiny House,purchase,0.0,0.0,60.0,Pittsburgh,Pennsylvania,http://res.cloudinary.com/tinyhouselistings/image/upload/20200228_192535_rgmf1o.jpg,56901,40.42,-80.01,12500.0,2020-03-08,208.33,
